Energy,Absorption
573.829,5.908
575.147,7.423
576.464,7.039
577.782,7.703
579.099,2.162
580.416,14.612
581.733,5.367
583.05,2.206
584.366,12.222
585.683,1.89
586.999,5.616
588.315,0.114
589.63,9.31
590.946,5.959
592.261,2.624
593.576,2.109
594.891,2.713
596.206,9.946
597.52,5.228
598.834,1.819
600.148,9.656
601.462,6.955
602.776,7.591
604.089,5.747
605.402,2.915
606.715,2.454
608.028,2.235
609.341,6.885
610.653,2.414
611.965,12.24
613.277,5.487
614.589,16.961
615.901,15.713
617.212,24.987
618.523,31.659
619.834,30.947
621.145,28.202
622.456,33.497
623.766,29.074
625.076,35.32
626.386,30.651
627.696,17.892
629.006,23.136
630.315,10.39
631.624,18.632
632.933,14.861
634.242,9.087
635.551,1.31
636.859,2.529
638.167,3.256
639.475,4.953
640.783,10.158
642.09,3.36
643.398,3.559
644.705,6.754
646.012,14.947
647.318,9.137
648.625,26.328
649.931,23.521
651.237,23.719
652.543,27.919
653.849,19.121
655.155,27.328
656.46,34.541
657.765,26.759
659.07,20.984
660.375,17.218
661.679,23.462
662.984,20.714
664.288,17.975
665.592,10.241
666.895,11.124
668.199,23.791
669.502,13.071
670.805,12.355
672.108,19.642
673.411,12.932
674.713,23.222
676.016,30.512
677.318,20.803
678.62,28.097
679.921,29.388
681.223,41.677
682.524,23.964
683.825,31.247
685.126,48.529
686.427,28.808
687.727,28.084
689.028,23.358
690.328,26.629
691.628,9.898
692.927,6.165
694.227,10.429
695.526,0.31
696.825,5.948
698.124,3.202
699.423,0.547
700.721,12.699
702.02,4.944
703.318,15.185
704.616,8.424
705.913,17.66
707.211,34.894
708.508,28.126
709.805,29.355
711.102,30.582
712.399,22.807
713.695,27.029
714.992,28.249
716.288,29.467
717.584,25.739
718.879,25.895
720.175,16.106
721.47,7.314
722.765,4.519
724.06,11.721
725.355,2.079
726.649,7.116
727.944,14.308
729.238,1.502
730.532,3.663
731.825,0.16
733.119,0.991
734.412,9.178
735.705,10.251
736.998,2.581
738.291,14.543
739.584,12.36
740.876,1.482
742.168,2.557
743.46,1.146
744.752,8.077
746.043,1.778
747.334,8.325
748.626,0.087
749.916,9.877
751.207,4.372
752.498,4.089
753.788,2.478
755.078,0.742
756.368,3.366
757.658,4.82
758.947,8.232
760.237,7.293
761.526,0.999
762.815,10.994
764.104,1.743
765.392,9.2
766.68,0.192
767.969,7.686
769.257,3.157
770.544,8.067
771.832,7.018
773.119,6.898
774.406,2.182
775.693,9.26
776.98,0.337
778.267,5.588
779.553,15.482
780.839,1.448
782.125,10.619
783.411,7.685
784.697,4.749
785.982,6.8
787.267,13.861
788.552,9.921
789.837,10.959
791.122,21.88
792.406,20.832
793.69,16.483
794.974,31.476
796.258,23.516
797.542,38.485
798.825,50.458
800.108,35.471
801.391,54.519
802.674,61.55
803.957,79.596
805.239,78.642
806.522,93.686
807.804,107.729
809.085,122.771
810.367,149.812
811.649,168.851
812.93,184.891
814.211,199.93
815.492,225.967
816.772,236.003
818.053,258.038
819.333,244.071
820.613,254.091
821.893,265.112
823.173,245.197
824.452,238.247
825.732,221.327
827.011,206.5
828.29,196.521
829.568,178.544
830.847,179.565
832.125,168.584
833.403,158.602
834.681,159.619
835.959,164.633
837.236,184.647
838.514,190.658
839.791,196.668
841.068,222.677
842.345,211.684
843.621,204.689
844.898,214.693
846.174,198.841
847.45,206.443
848.726,230.786
850.001,220.605
851.277,219.554
852.552,242.469
853.827,246.268
855.102,270.256
856.376,278.187
