Energy,Fe foil,Fe2O3,Fe3O4,FeO
7138.163,0.90922346,1.200462,1.0785535,0.93493699
7139.148,0.92084148,1.156029,1.0582626,0.92917606
7140.151,0.93533901,1.1112409,1.0401839,0.93802225
7141.174,0.94673951,1.0707645,1.0299355,0.95963281
7142.216,0.95113121,1.0404698,1.02982,0.99052468
7143.277,0.94897394,1.0222474,1.0339242,1.009815
7144.357,0.94467715,1.0148748,1.036582,1.0101712
7145.455,0.94423662,1.0148782,1.0322966,0.99281803
7146.574,0.95258703,1.0163977,1.0159548,0.96418425
7147.71,0.9687509,1.0098179,0.98849728,0.93680259
7148.866,0.98880793,0.98963162,0.95823701,0.91349645
7150.041,1.0062505,0.96389224,0.93301695,0.89495404
7151.235,1.0163697,0.93900185,0.91464386,0.88253935
7152.448,1.0234854,0.9158103,0.9005283,0.87429703
7153.68,1.028936,0.89561377,0.88834435,0.86875282
7154.932,1.0294146,0.87511214,0.87611356,0.86574232
7156.202,1.0258378,0.85629115,0.8639095,0.86571797
7157.491,1.0214059,0.83886831,0.85453738,0.86975347
7158.799,1.0195711,0.82785979,0.84972755,0.87747486
7160.126,1.0197573,0.82361617,0.84993581,0.88737862
7161.472,1.0193016,0.82392,0.85437634,0.89794065
7162.837,1.0167734,0.83119531,0.86089442,0.90947511
7164.221,1.0119284,0.84000441,0.86903182,0.923808
7165.624,1.0074773,0.85147663,0.87966148,0.94532099
7167.047,1.0045321,0.86377572,0.8928179,0.97646886
7168.488,1.0025014,0.88317451,0.90879282,1.0091934
7169.948,0.99944841,0.90867723,0.92686141,1.0382546
7171.428,0.99409308,0.93564958,0.94620936,1.0626598
7172.926,0.98466691,0.97210731,0.96583536,1.0795995
7174.443,0.97224671,1.0082441,0.98312408,1.0889051
7175.979,0.95803414,1.0340588,0.99846771,1.0917248
7177.535,0.94317883,1.0485099,1.0137808,1.087017
7179.109,0.93224892,1.0579952,1.0295509,1.07461
7180.703,0.92708936,1.0610312,1.0414156,1.0574838
7182.315,0.92838572,1.0627431,1.0473399,1.0391178
7183.947,0.93327245,1.059013,1.0474502,1.0221795
7185.597,0.94287639,1.0545591,1.044373,1.0081363
7187.267,0.95628323,1.049485,1.0416116,0.99615125
7188.955,0.97267514,1.0462027,1.0375137,0.9841512
7190.663,0.98995147,1.0447167,1.0324293,0.97272776
7192.389,1.0081821,1.0366663,1.0253661,0.96284283
7194.135,1.0208186,1.0282402,1.015604,0.9555904
7195.899,1.0228689,1.0184575,1.0058269,0.95246704
7197.683,1.0146018,1.0134559,0.9960265,0.95390595
7199.486,0.99959401,1.0040209,0.98582527,0.95943288
7201.308,0.98130001,0.99513368,0.97565781,0.96700804
7203.148,0.96108907,0.98571319,0.9662856,0.97416312
7205.008,0.94028793,0.97669057,0.95905165,0.97902365
7206.887,0.92519251,0.97215578,0.95503176,0.98075073
7208.784,0.92331754,0.97085238,0.95420186,0.98059925
7210.701,0.94036718,0.96926889,0.95619166,0.98089953
7212.637,0.97826525,0.96924582,0.95953436,0.98301742
7214.592,1.0291669,0.96984062,0.96478739,0.98740229
7216.565,1.0793123,0.97390533,0.972472,0.99420418
7218.559,1.1172445,0.97824719,0.98063078,1.0023332
7220.57,1.1393793,0.97932372,0.98933899,1.0099948
7222.601,1.1381949,0.98682325,0.99641321,1.0143535
7224.651,1.1160033,0.98757999,1.0030564,1.0135653
7226.72,1.0804833,0.98761503,1.0053522,1.0082403
7228.808,1.0412247,0.98455486,1.0047394,0.99979057
7230.915,1.0005783,0.9828222,1.0022531,0.98969092
7233.041,0.96290595,0.98132491,0.99661355,0.97908832
7235.186,0.93639039,0.98413264,0.9901975,0.96931151
7237.351,0.92032387,0.98657694,0.98219936,0.96329278
7239.533,0.91598412,0.98909838,0.9720417,0.96324444
7241.735,0.92258577,0.9874423,0.96156864,0.97143199
7243.956,0.93490897,0.98463537,0.9528661,0.98085167
7246.197,0.95082479,0.97857553,0.94900593,0.99331322
