energy,Fe_foil,Fe2O3,Fe3O4,FeO
7130.663,9.32E-02,5.61E-03,-5.26E-02,-0.13353441
7131.163,4.40E-02,1.02E-02,-7.22E-02,-0.19930353
7131.663,-1.49E-02,1.21E-02,-9.16E-02,-0.17073071
7132.163,-6.68E-02,7.12E-03,-0.10314283,-0.14858657
7132.663,-0.1075884,2.08E-03,-0.11217651,-0.14211192
7133.163,-0.1237612,-3.50E-03,-0.11046028,-0.10737522
7133.663,-0.1222455,-9.62E-03,-0.1049639,-8.19E-02
7134.163,-0.1178983,-1.35E-02,-8.94E-02,-6.42E-02
7134.663,-0.1026285,-1.65E-02,-7.38E-02,-4.95E-02
7135.163,-8.18E-02,-1.56E-02,-5.84E-02,-4.71E-02
7135.663,-6.00E-02,-1.41E-02,-4.80E-02,-4.58E-02
7136.163,-4.15E-02,-1.23E-02,-4.18E-02,-3.98E-02
7136.663,-2.40E-02,-1.07E-02,-4.07E-02,-3.77E-02
7137.163,-6.95E-03,-1.13E-02,-4.26E-02,-3.60E-02
7137.663,9.34E-03,-1.20E-02,-4.54E-02,-2.55E-02
7138.163,2.90E-02,-1.28E-02,-4.85E-02,-1.77E-02
7139.148,3.88E-02,-1.35E-02,-4.75E-02,-1.56E-03
7140.151,3.77E-02,-1.28E-02,-3.52E-02,2.22E-02
7141.174,2.17E-02,-1.06E-02,-1.44E-02,3.71E-02
7142.216,1.08E-03,-7.56E-03,1.67E-03,3.43E-02
7143.277,-1.17E-02,-4.50E-03,4.82E-03,1.34E-02
7144.357,-9.04E-03,-2.14E-03,-4.21E-03,-1.49E-02
7145.455,8.92E-03,-1.02E-03,-2.40E-02,-3.18E-02
7146.574,3.18E-02,-1.83E-03,-4.76E-02,-3.69E-02
7147.71,4.72E-02,-4.39E-03,-6.10E-02,-3.11E-02
7148.866,4.81E-02,-6.60E-03,-5.80E-02,-2.62E-02
7150.041,3.42E-02,-7.07E-03,-4.55E-02,-1.95E-02
7151.235,2.02E-02,-6.68E-03,-3.40E-02,-1.31E-02
7152.448,1.38E-02,-6.08E-03,-2.76E-02,-9.10E-03
7153.68,5.24E-03,-5.70E-03,-2.54E-02,-5.96E-03
7154.932,-6.06E-03,-5.48E-03,-2.50E-02,-2.85E-03
7156.202,-1.20E-02,-5.08E-03,-2.21E-02,9.56E-04
7157.491,-9.77E-03,-4.20E-03,-1.52E-02,5.22E-03
7158.799,-4.17E-03,-2.78E-03,-6.56E-03,8.18E-03
7160.126,-2.53E-03,-1.59E-03,1.56E-03,9.56E-03
7161.472,-5.66E-03,-4.24E-04,6.95E-03,1.03E-02
7162.837,-1.06E-02,4.23E-04,9.98E-03,1.20E-02
7164.221,-1.26E-02,8.12E-04,1.32E-02,1.69E-02
7165.624,-1.04E-02,1.13E-03,1.72E-02,2.47E-02
7167.047,-7.64E-03,1.86E-03,2.13E-02,3.01E-02
7168.488,-7.69E-03,3.07E-03,2.49E-02,2.86E-02
7169.948,-1.11E-02,3.73E-03,2.72E-02,2.44E-02
7171.428,-1.77E-02,4.67E-03,2.81E-02,1.84E-02
7172.926,-2.49E-02,5.43E-03,2.61E-02,1.10E-02
7174.443,-2.95E-02,4.39E-03,2.25E-02,4.44E-03
7175.979,-3.16E-02,2.40E-03,2.07E-02,-1.91E-03
7177.535,-2.80E-02,9.18E-04,2.07E-02,-8.84E-03
7179.109,-1.81E-02,-9.13E-05,1.79E-02,-1.42E-02
7180.703,-5.96E-03,-7.75E-04,1.05E-02,-1.66E-02
7182.315,3.78E-03,-1.35E-03,1.92E-03,-1.64E-02
7183.947,1.16E-02,-1.86E-03,-4.51E-03,-1.43E-02
7185.597,1.95E-02,-1.96E-03,-6.53E-03,-1.21E-02
7187.267,2.56E-02,-1.86E-03,-7.18E-03,-1.11E-02
7188.955,2.88E-02,-1.56E-03,-8.72E-03,-1.08E-02
7190.663,3.02E-02,-1.93E-03,-1.07E-02,-9.83E-03
7192.389,2.56E-02,-2.47E-03,-1.37E-02,-8.03E-03
7194.135,1.09E-02,-2.60E-03,-1.54E-02,-5.20E-03
7195.899,-7.65E-03,-2.31E-03,-1.53E-02,-1.77E-03
7197.683,-2.25E-02,-2.28E-03,-1.54E-02,1.55E-03
7199.486,-3.09E-02,-2.55E-03,-1.55E-02,3.92E-03
7201.308,-3.50E-02,-2.54E-03,-1.48E-02,4.52E-03
7203.148,-3.68E-02,-2.53E-03,-1.28E-02,3.35E-03
7205.008,-3.22E-02,-2.16E-03,-9.39E-03,1.32E-03
7206.887,-1.62E-02,-1.59E-03,-5.36E-03,-5.04E-04
7208.784,1.03E-02,-1.37E-03,-1.66E-03,-1.07E-03
7210.701,4.25E-02,-1.27E-03,8.64E-04,-2.22E-04
7212.637,6.92E-02,-1.12E-03,2.79E-03,1.22E-03
7214.592,7.83E-02,-8.31E-04,5.32E-03,2.87E-03
7216.565,6.73E-02,-5.75E-04,6.96E-03,4.16E-03
7218.559,4.48E-02,-7.82E-04,7.46E-03,4.42E-03
7220.57,1.41E-02,-5.68E-04,6.75E-03,2.92E-03
7222.601,-2.00E-02,-5.99E-04,5.47E-03,9.85E-05
7224.651,-4.60E-02,-1.09E-03,2.70E-03,-3.20E-03
7226.72,-5.84E-02,-1.35E-03,-1.40E-03,-5.72E-03
7228.808,-6.17E-02,-1.46E-03,-4.05E-03,-7.30E-03
7230.915,-6.00E-02,-1.36E-03,-6.80E-03,-7.94E-03
7233.041,-4.91E-02,-1.06E-03,-8.90E-03,-7.78E-03
7235.186,-3.30E-02,-8.11E-04,-1.01E-02,-6.23E-03
7237.351,-1.68E-02,-8.28E-04,-1.21E-02,-3.02E-03
7239.533,-4.97E-04,-1.09E-03,-1.33E-02,1.47E-03
7241.735,1.13E-02,-1.42E-03,-1.24E-02,4.38E-03
7243.956,1.77E-02,-1.69E-03,-8.89E-03,5.76E-03
7246.197,1.78E-02,-1.71E-03,-3.91E-03,5.88E-03
7248.456,9.97E-03,-1.44E-03,8.54E-04,3.79E-03
7250.734,-1.39E-03,-1.32E-03,4.74E-03,1.30E-03
7253.031,-9.32E-03,-1.12E-03,7.25E-03,-6.51E-04
7255.348,-8.25E-03,-6.40E-04,8.56E-03,-1.49E-03
7257.683,1.32E-04,-3.07E-04,8.80E-03,-1.16E-03
7260.037,8.11E-03,-3.12E-04,7.85E-03,-2.01E-04
7262.411,1.02E-02,-5.63E-04,6.38E-03,6.24E-04
7264.803,8.93E-03,-6.24E-04,4.02E-03,9.01E-04
7267.214,9.44E-03,-4.29E-04,1.15E-03,6.07E-04
7269.644,1.47E-02,-6.65E-04,-5.56E-04,5.62E-05
7272.094,1.82E-02,-9.92E-04,-1.54E-03,-8.81E-04
7274.562,1.34E-02,-8.38E-04,-2.34E-03,-1.99E-03
7277.05,7.87E-03,-7.40E-04,-3.13E-03,-3.06E-03
7279.556,8.72E-03,-8.52E-04,-3.88E-03,-4.10E-03
7282.081,1.23E-02,-9.53E-04,-5.52E-03,-4.99E-03
7284.626,1.24E-02,-1.14E-03,-7.72E-03,-5.48E-03
7287.189,6.28E-03,-1.26E-03,-8.69E-03,-5.59E-03
7289.772,-7.70E-03,-1.26E-03,-8.16E-03,-5.16E-03
7292.373,-2.35E-02,-1.31E-03,-6.51E-03,-4.06E-03
7294.994,-3.13E-02,-1.40E-03,-5.14E-03,-2.51E-03
7297.634,-3.06E-02,-1.56E-03,-4.70E-03,-1.03E-03
7300.292,-2.58E-02,-1.79E-03,-4.61E-03,4.19E-04
7302.97,-1.94E-02,-1.78E-03,-4.50E-03,1.53E-03
7305.667,-1.26E-02,-1.59E-03,-4.04E-03,2.00E-03
7308.382,-6.51E-03,-1.61E-03,-2.88E-03,2.06E-03
7311.117,-1.38E-03,-1.71E-03,-1.07E-03,1.82E-03
