energy,Fe_foil,Fe2O3,Fe3O4,FeO
7129.663,-8.05E-03,-3.30E-02,-6.01E-02,-9.16E-02
7130.163,-1.62E-02,2.18E-03,-4.31E-02,-8.08E-02
7130.663,-2.60E-02,2.51E-02,-2.50E-02,-8.13E-02
7131.163,-3.46E-02,2.36E-02,-1.67E-02,-1.46E-02
7131.663,-3.54E-02,-1.13E-02,-1.23E-02,3.77E-02
7132.163,-2.96E-02,-3.71E-02,-7.73E-03,1.85E-02
7132.663,-1.82E-02,-3.95E-02,-3.00E-03,2.97E-02
7133.163,-4.69E-03,-3.85E-02,3.07E-03,4.79E-02
7133.663,1.87E-03,-3.42E-02,8.35E-03,3.02E-02
7134.163,6.27E-03,-2.23E-02,1.15E-02,2.38E-02
7134.663,1.16E-02,-7.19E-03,1.24E-02,1.26E-02
7135.163,1.36E-02,2.74E-03,1.02E-02,-1.81E-03
7135.663,1.29E-02,1.18E-02,7.13E-03,6.37E-03
7136.163,1.15E-02,7.97E-03,3.25E-03,6.00E-03
7136.663,1.10E-02,3.76E-03,5.23E-04,1.90E-03
7137.163,1.07E-02,-1.09E-03,-1.52E-03,1.11E-02
7137.663,1.15E-02,-5.32E-03,-1.71E-03,1.27E-02
7138.163,6.35E-03,-4.05E-03,-1.01E-03,1.16E-02
7139.148,1.40E-03,6.70E-05,2.83E-03,1.34E-02
7140.151,-2.71E-03,5.20E-03,6.93E-03,1.06E-02
7141.174,-5.68E-03,9.14E-03,7.61E-03,1.26E-02
7142.216,-5.07E-03,1.06E-02,3.95E-03,-1.08E-02
7143.277,-1.51E-03,9.20E-03,-1.12E-03,-1.65E-02
7144.357,3.02E-03,5.81E-03,-5.64E-03,-1.43E-02
7145.455,5.89E-03,5.24E-04,-8.35E-03,-1.21E-02
7146.574,5.43E-03,-5.41E-03,-7.02E-03,1.01E-03
7147.71,2.28E-03,-7.54E-03,-1.99E-03,3.88E-03
7148.866,-1.79E-03,-4.20E-03,2.81E-03,3.57E-03
7150.041,-3.77E-03,-1.36E-04,4.32E-03,3.95E-03
7151.235,-2.70E-03,1.49E-03,3.20E-03,3.09E-03
7152.448,-1.95E-03,1.47E-03,1.52E-03,2.11E-03
7153.68,-2.56E-03,8.79E-04,4.49E-04,1.80E-03
7154.932,-2.19E-03,8.89E-04,5.65E-04,1.96E-03
7156.202,-4.62E-04,1.83E-03,1.64E-03,2.26E-03
7157.491,9.65E-04,3.21E-03,2.57E-03,1.98E-03
7158.799,8.78E-04,3.60E-03,2.73E-03,1.19E-03
7160.126,-1.77E-04,3.21E-03,2.17E-03,5.52E-04
7161.472,-9.52E-04,2.70E-03,1.34E-03,6.31E-04
7162.837,-8.13E-04,1.64E-03,9.83E-04,1.71E-03
7164.221,2.37E-05,9.30E-04,1.11E-03,3.30E-03
7165.624,5.66E-04,1.35E-03,1.22E-03,3.38E-03
7167.047,3.02E-04,2.45E-03,1.16E-03,9.32E-04
